,precision,recall,f1-score,support
828,0.9322033898305084,0.7971014492753623,0.859375,69.0
829,1.0,0.40625,0.5777777777777777,64.0
830,0.839622641509434,0.9468085106382979,0.89,94.0
831,0.8727272727272727,0.9896907216494846,0.9275362318840581,97.0
832,0.9772727272727273,0.7166666666666667,0.826923076923077,60.0
833,0.8333333333333334,0.3125,0.45454545454545453,48.0
834,0.0,0.0,0.0,14.0
835,0.9767441860465116,0.6268656716417911,0.7636363636363637,67.0
836,0.6283783783783784,1.0,0.7717842323651452,93.0
837,0.8440366972477065,1.0,0.9154228855721394,92.0
838,0.89,0.978021978021978,0.9319371727748691,91.0
839,0.8913043478260869,0.9879518072289156,0.9371428571428572,83.0
840,1.0,0.6851851851851852,0.8131868131868133,54.0
841,0.9468085106382979,0.9081632653061225,0.9270833333333334,98.0
842,0.7876106194690266,0.9888888888888889,0.876847290640394,90.0
843,1.0,0.36538461538461536,0.5352112676056338,52.0
844,0.8469387755102041,0.9540229885057471,0.8972972972972973,87.0
845,0.8214285714285714,0.9324324324324325,0.8734177215189872,74.0
846,0.0,0.0,0.0,8.0
847,0.7964601769911505,0.967741935483871,0.8737864077669903,93.0
848,0.9264705882352942,0.8289473684210527,0.875,76.0
849,1.0,0.044444444444444446,0.0851063829787234,45.0
850,0.972972972972973,0.5373134328358209,0.6923076923076924,67.0
851,0.9615384615384616,0.5102040816326531,0.6666666666666667,49.0
852,1.0,0.3076923076923077,0.47058823529411764,26.0
853,0.7704918032786885,0.9791666666666666,0.8623853211009173,96.0
854,0.940677966101695,0.9736842105263158,0.956896551724138,114.0
855,0.9090909090909091,0.7692307692307693,0.8333333333333333,65.0
856,1.0,0.36,0.5294117647058824,50.0
857,0.7413793103448276,0.9555555555555556,0.8349514563106797,90.0
858,0.7804878048780488,0.9696969696969697,0.8648648648648648,66.0
859,0.8518518518518519,0.9787234042553191,0.9108910891089108,94.0
860,0.9772727272727273,0.6825396825396826,0.8037383177570094,63.0
861,1.0,0.7450980392156863,0.8539325842696629,51.0
862,0.9090909090909091,0.967741935483871,0.9374999999999999,93.0
863,1.0,0.4603174603174603,0.6304347826086957,63.0
864,0.8867924528301887,0.9591836734693877,0.9215686274509803,98.0
865,0.0,0.0,0.0,4.0
866,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
867,0.8941176470588236,0.9047619047619048,0.8994082840236687,84.0
868,0.9102564102564102,0.8255813953488372,0.8658536585365854,86.0
869,0.9193548387096774,0.7215189873417721,0.8085106382978723,79.0
870,0.9545454545454546,0.9655172413793104,0.96,87.0
871,0.9279279279279279,0.9279279279279279,0.9279279279279279,111.0
872,0.811965811965812,0.9895833333333334,0.8920187793427231,96.0
873,0.8983050847457628,0.8833333333333333,0.8907563025210085,60.0
874,0.9117647058823529,0.6595744680851063,0.7654320987654322,47.0
875,0.8679245283018868,0.9787234042553191,0.9199999999999999,94.0
876,0.8686868686868687,0.9885057471264368,0.9247311827956989,87.0
877,0.927710843373494,0.9625,0.9447852760736196,80.0
878,0.9238095238095239,0.97,0.9463414634146342,100.0
879,1.0,0.875,0.9333333333333333,64.0
880,0.875,0.15217391304347827,0.2592592592592593,46.0
881,0.8421052631578947,0.2857142857142857,0.4266666666666667,56.0
882,0.82,0.7735849056603774,0.796116504854369,53.0
883,0.9655172413793104,0.7887323943661971,0.8682170542635659,71.0
884,0.7878787878787878,0.9629629629629629,0.8666666666666665,81.0
885,1.0,0.37254901960784315,0.5428571428571428,51.0
886,0.9516129032258065,0.7662337662337663,0.8489208633093526,77.0
887,0.9306930693069307,0.9791666666666666,0.9543147208121827,96.0
888,0.7684210526315789,0.948051948051948,0.8488372093023255,77.0
889,0.7021276595744681,0.9565217391304348,0.8098159509202454,69.0
890,0.8641975308641975,0.8641975308641975,0.8641975308641975,81.0
891,0.7751937984496124,1.0,0.8733624454148472,100.0
892,1.0,0.02127659574468085,0.04166666666666667,47.0
893,0.9444444444444444,0.4146341463414634,0.576271186440678,41.0
894,0.8514851485148515,1.0,0.9197860962566845,86.0
895,0.8165137614678899,0.9888888888888889,0.8944723618090452,90.0
896,0.8653846153846154,0.9278350515463918,0.8955223880597015,97.0
897,0.9,0.9310344827586207,0.9152542372881356,87.0
898,0.900990099009901,0.9479166666666666,0.9238578680203046,96.0
899,0.8032786885245902,0.98989898989899,0.8868778280542987,99.0
900,1.0,0.5405405405405406,0.7017543859649124,37.0
901,0.8141592920353983,0.989247311827957,0.8932038834951458,93.0
902,0.8311688311688312,0.9846153846153847,0.9014084507042254,65.0
903,1.0,0.6666666666666666,0.8,54.0
904,0.6766917293233082,0.8823529411764706,0.7659574468085105,102.0
905,1.0,0.023255813953488372,0.04545454545454545,43.0
906,0.8571428571428571,0.7714285714285715,0.81203007518797,70.0
907,0.9358974358974359,0.8588235294117647,0.8957055214723926,85.0
908,1.0,0.2545454545454545,0.4057971014492754,55.0
909,0.8888888888888888,0.7164179104477612,0.793388429752066,67.0
910,0.9438202247191011,0.9545454545454546,0.9491525423728814,88.0
911,0.8653846153846154,0.9782608695652174,0.9183673469387755,92.0
912,1.0,0.2222222222222222,0.3636363636363636,27.0
913,0.8508771929824561,0.9603960396039604,0.9023255813953488,101.0
914,0.9078947368421053,0.971830985915493,0.9387755102040817,71.0
915,0.8571428571428571,0.9896907216494846,0.9186602870813396,97.0
916,0.8924731182795699,1.0,0.9431818181818181,83.0
917,0.8,0.9583333333333334,0.8720379146919433,96.0
918,0.8666666666666667,0.9397590361445783,0.9017341040462428,83.0
919,0.946236559139785,0.9263157894736842,0.9361702127659575,95.0
920,0.9622641509433962,0.6891891891891891,0.8031496062992127,74.0
921,1.0,0.29411764705882354,0.45454545454545453,17.0
922,0.9473684210526315,0.9473684210526315,0.9473684210526315,76.0
923,0.631578947368421,1.0,0.7741935483870968,84.0
924,0.873015873015873,1.0,0.9322033898305084,55.0
925,0.84375,1.0,0.9152542372881356,108.0
926,0.8648648648648649,1.0,0.927536231884058,96.0
927,0.9473684210526315,0.8275862068965517,0.8834355828220859,87.0
928,0.93,0.96875,0.9489795918367346,96.0
929,0.8113207547169812,0.7889908256880734,0.7999999999999999,109.0
930,0.8695652173913043,0.7547169811320755,0.8080808080808081,53.0
931,0.7432432432432432,0.859375,0.7971014492753623,64.0
932,1.0,0.3111111111111111,0.4745762711864407,45.0
933,0.8492063492063492,1.0,0.9184549356223175,107.0
934,0.9375,0.9574468085106383,0.9473684210526315,94.0
935,0.7710843373493976,0.9411764705882353,0.847682119205298,68.0
936,0.8695652173913043,0.9900990099009901,0.9259259259259259,101.0
937,0.7349397590361446,0.8970588235294118,0.8079470198675497,68.0
938,0.9565217391304348,0.6285714285714286,0.7586206896551724,35.0
939,0.0,0.0,0.0,36.0
940,0.8488372093023255,0.9733333333333334,0.906832298136646,75.0
941,1.0,0.5813953488372093,0.7352941176470588,43.0
942,0.9090909090909091,0.20408163265306123,0.33333333333333337,49.0
943,0.8974358974358975,0.5555555555555556,0.6862745098039216,63.0
944,0.8876404494382022,0.9404761904761905,0.9132947976878611,84.0
945,0.865979381443299,0.9882352941176471,0.9230769230769231,85.0
946,0.8620689655172413,0.9375,0.8982035928143712,80.0
947,1.0,0.06666666666666667,0.125,45.0
948,0.9803921568627451,0.746268656716418,0.847457627118644,67.0
949,0.72,0.8852459016393442,0.7941176470588235,61.0
950,0.8673469387755102,1.0,0.9289617486338798,85.0
951,0.7703703703703704,0.9904761904761905,0.8666666666666667,105.0
952,1.0,0.13333333333333333,0.23529411764705882,45.0
953,0.9642857142857143,0.4909090909090909,0.6506024096385543,55.0
954,1.0,0.08,0.14814814814814814,50.0
955,1.0,0.34,0.5074626865671642,50.0
956,0.788135593220339,0.9789473684210527,0.8732394366197183,95.0
957,0.8333333333333334,0.13157894736842105,0.22727272727272727,38.0
958,0.6973684210526315,0.9636363636363636,0.8091603053435114,55.0
959,0.9368421052631579,0.9270833333333334,0.9319371727748692,96.0
960,0.8598130841121495,1.0,0.9246231155778893,92.0
961,0.9333333333333333,0.8484848484848485,0.888888888888889,66.0
962,0.5702479338842975,0.8846153846153846,0.6934673366834171,78.0
963,0.8389830508474576,0.9705882352941176,0.9,102.0
964,0.9850746268656716,0.9428571428571428,0.9635036496350364,70.0
965,0.9175257731958762,0.978021978021978,0.9468085106382979,91.0
966,0.8596491228070176,0.98,0.9158878504672898,100.0
967,0.7976190476190477,0.9305555555555556,0.858974358974359,72.0
968,0.7647058823529411,0.2653061224489796,0.3939393939393939,49.0
969,1.0,0.10909090909090909,0.19672131147540983,55.0
970,0.9,0.2903225806451613,0.4390243902439024,31.0
971,0.0,0.0,0.0,31.0
972,0.8229166666666666,0.9875,0.8977272727272727,80.0
973,0.873015873015873,0.9821428571428571,0.9243697478991596,112.0
974,0.92,0.8932038834951457,0.9064039408866995,103.0
975,0.96,1.0,0.9795918367346939,96.0
976,0.7425742574257426,0.9868421052631579,0.8474576271186441,76.0
977,1.0,0.08108108108108109,0.15,37.0
978,0.9433962264150944,0.9433962264150944,0.9433962264150944,106.0
979,0.7422680412371134,0.9230769230769231,0.8228571428571428,78.0
980,1.0,0.021739130434782608,0.042553191489361694,46.0
981,1.0,0.4482758620689655,0.6190476190476191,58.0
982,1.0,0.5789473684210527,0.7333333333333334,19.0
983,0.9090909090909091,0.8108108108108109,0.8571428571428571,74.0
984,0.8425925925925926,1.0,0.914572864321608,91.0
985,0.9107142857142857,0.864406779661017,0.8869565217391304,59.0
986,1.0,0.04878048780487805,0.09302325581395349,41.0
987,1.0,0.1875,0.3157894736842105,48.0
988,0.8611111111111112,1.0,0.9253731343283582,93.0
989,0.81,1.0,0.8950276243093923,81.0
990,0.8602150537634409,0.9411764705882353,0.898876404494382,85.0
991,0.86,0.7049180327868853,0.7747747747747747,61.0
992,1.0,0.41509433962264153,0.5866666666666668,53.0
993,0.9642857142857143,0.72,0.8244274809160306,75.0
994,1.0,0.375,0.5454545454545454,32.0
995,0.958904109589041,0.8974358974358975,0.9271523178807948,78.0
996,0.7204301075268817,0.9710144927536232,0.8271604938271604,69.0
997,0.9130434782608695,0.863013698630137,0.8873239436619719,73.0
998,0.8686868686868687,0.9555555555555556,0.9100529100529101,90.0
999,0.9130434782608695,0.9459459459459459,0.9292035398230089,111.0
1000,0.8849557522123894,0.9803921568627451,0.9302325581395348,102.0
1001,0.825,1.0,0.9041095890410958,99.0
1002,0.865546218487395,1.0,0.927927927927928,103.0
1003,0.8222222222222222,0.9866666666666667,0.896969696969697,75.0
1004,1.0,0.1956521739130435,0.32727272727272727,46.0
1005,0.9428571428571428,0.9705882352941176,0.9565217391304348,102.0
1006,0.9117647058823529,1.0,0.9538461538461539,93.0
1007,0.9142857142857143,0.9795918367346939,0.9458128078817734,98.0
1008,1.0,0.02857142857142857,0.05555555555555556,35.0
1009,0.8849557522123894,0.9900990099009901,0.9345794392523366,101.0
1010,0.6,0.574468085106383,0.5869565217391305,47.0
1011,0.7761194029850746,0.8253968253968254,0.8,63.0
1012,0.6917808219178082,1.0,0.8178137651821863,101.0
1013,0.6285714285714286,0.8148148148148148,0.7096774193548386,54.0
1014,0.7717391304347826,0.9466666666666667,0.8502994011976047,75.0
1015,1.0,0.022222222222222223,0.04347826086956522,45.0
1016,0.9222222222222223,0.9651162790697675,0.9431818181818181,86.0
1017,0.85,1.0,0.9189189189189189,85.0
1018,0.797752808988764,0.8255813953488372,0.8114285714285714,86.0
1019,0.9380530973451328,1.0,0.9680365296803652,106.0
1020,1.0,0.04,0.07692307692307693,50.0
1021,0.963855421686747,0.7920792079207921,0.8695652173913044,101.0
1022,1.0,0.18518518518518517,0.3125,54.0
1023,0.7737226277372263,1.0,0.8724279835390947,106.0
1024,0.9333333333333333,1.0,0.9655172413793104,112.0
1025,0.891566265060241,0.9135802469135802,0.9024390243902438,81.0
1026,0.8925619834710744,1.0,0.9432314410480349,108.0
1027,0.9239130434782609,1.0,0.96045197740113,85.0
1028,0.8181818181818182,0.8873239436619719,0.8513513513513514,71.0
1029,0.8942307692307693,0.9587628865979382,0.9253731343283582,97.0
1030,1.0,0.08333333333333333,0.15384615384615385,36.0
1031,0.8888888888888888,0.9014084507042254,0.8951048951048951,71.0
1032,0.8125,0.6190476190476191,0.7027027027027026,63.0
1033,0.8372093023255814,0.8571428571428571,0.8470588235294119,84.0
1034,1.0,0.9761904761904762,0.9879518072289156,42.0
1035,0.8461538461538461,0.7586206896551724,0.8,58.0
1036,0.9010989010989011,0.9534883720930233,0.9265536723163842,86.0
1037,0.9340659340659341,0.9550561797752809,0.9444444444444444,89.0
1038,1.0,0.021739130434782608,0.042553191489361694,46.0
1039,0.91,0.9578947368421052,0.9333333333333333,95.0
1040,0.8333333333333334,0.7317073170731707,0.7792207792207793,41.0
1041,0.8541666666666666,0.9213483146067416,0.8864864864864865,89.0
1042,1.0,0.3870967741935484,0.5581395348837209,31.0
1043,1.0,0.1276595744680851,0.22641509433962262,47.0
1044,0.8775510204081632,0.9347826086956522,0.9052631578947369,92.0
1045,0.8487394957983193,0.9439252336448598,0.8938053097345133,107.0
1046,0.8584070796460177,0.9603960396039604,0.9065420560747663,101.0
1047,0.803921568627451,0.7735849056603774,0.7884615384615384,53.0
1048,0.775,0.6739130434782609,0.7209302325581396,46.0
1049,0.8,0.96,0.8727272727272728,75.0
1050,0.826530612244898,1.0,0.9050279329608939,81.0
1051,0.9024390243902439,0.7628865979381443,0.8268156424581006,97.0
1052,0.8902439024390244,0.9733333333333334,0.9299363057324841,75.0
1053,0.8823529411764706,0.9375,0.9090909090909091,80.0
1054,0.9714285714285714,0.5230769230769231,0.68,65.0
1055,0.9222222222222223,0.9540229885057471,0.9378531073446328,87.0
1056,1.0,0.5,0.6666666666666666,52.0
1057,1.0,0.7894736842105263,0.8823529411764706,38.0
1058,1.0,0.3076923076923077,0.47058823529411764,65.0
1059,0.9508196721311475,0.90625,0.9279999999999999,64.0
1060,0.8571428571428571,0.75,0.7999999999999999,88.0
1061,1.0,0.16901408450704225,0.2891566265060241,71.0
1062,0.875,0.65625,0.75,64.0
1063,0.7786885245901639,0.9895833333333334,0.8715596330275229,96.0
1064,0.9342105263157895,0.9342105263157895,0.9342105263157895,76.0
1065,1.0,0.4838709677419355,0.6521739130434783,31.0
1066,0.9090909090909091,0.19607843137254902,0.3225806451612903,51.0
1067,0.9506172839506173,0.9390243902439024,0.9447852760736196,82.0
1068,0.8938053097345132,0.9711538461538461,0.9308755760368663,104.0
1069,1.0,0.37209302325581395,0.5423728813559322,43.0
1070,0.8055555555555556,0.9560439560439561,0.8743718592964824,91.0
1071,0.8620689655172413,0.847457627118644,0.8547008547008546,59.0
1072,0.9619047619047619,0.9901960784313726,0.9758454106280193,102.0
1073,1.0,0.5689655172413793,0.7252747252747253,58.0
1074,0.9027777777777778,0.9701492537313433,0.9352517985611511,67.0
1075,0.8773584905660378,0.9893617021276596,0.93,94.0
1076,0.9428571428571428,0.9519230769230769,0.9473684210526315,104.0
1077,0.904,0.9912280701754386,0.9456066945606694,114.0
1078,0.0,0.0,0.0,10.0
1079,0.9591836734693877,0.6811594202898551,0.7966101694915255,69.0
1080,0.875,0.9506172839506173,0.9112426035502958,81.0
1081,0.8807339449541285,0.96,0.9186602870813397,100.0
1082,0.8985507246376812,0.775,0.8322147651006713,80.0
1083,0.9736842105263158,0.891566265060241,0.930817610062893,83.0
1084,0.7536231884057971,0.9904761904761905,0.8559670781893004,105.0
1085,0.9024390243902439,0.9487179487179487,0.9249999999999999,78.0
1086,0.8521739130434782,0.9514563106796117,0.8990825688073394,103.0
1087,0.8902439024390244,0.948051948051948,0.9182389937106918,77.0
1088,0.8095238095238095,0.85,0.8292682926829269,60.0
1089,0.9767441860465116,0.875,0.923076923076923,96.0
1090,0.9473684210526315,0.9183673469387755,0.9326424870466321,98.0
1091,0.7230769230769231,1.0,0.8392857142857142,94.0
1092,0.9117647058823529,0.96875,0.9393939393939394,96.0
1093,1.0,0.041666666666666664,0.07999999999999999,48.0
1094,0.9316239316239316,0.990909090909091,0.960352422907489,110.0
1095,1.0,0.2631578947368421,0.4166666666666667,38.0
1096,0.9646017699115044,1.0,0.9819819819819819,109.0
1097,0.8290598290598291,0.9897959183673469,0.9023255813953488,98.0
1098,0.96,0.48,0.64,50.0
1099,0.7613636363636364,0.8271604938271605,0.7928994082840236,81.0
1100,0.8969072164948454,1.0,0.9456521739130436,87.0
1101,1.0,0.08,0.14814814814814814,50.0
1102,0.88,0.3235294117647059,0.4731182795698925,68.0
1103,0.7424242424242424,1.0,0.8521739130434782,98.0
1104,0.6962025316455697,0.873015873015873,0.7746478873239436,63.0
1105,0.0,0.0,0.0,5.0
1106,0.88,0.4230769230769231,0.5714285714285714,52.0
1107,0.8928571428571429,0.8620689655172413,0.8771929824561403,58.0
1108,0.9065420560747663,1.0,0.9509803921568627,97.0
1109,0.8333333333333334,0.974025974025974,0.8982035928143713,77.0
1110,0.792,0.9705882352941176,0.8722466960352424,102.0
1111,0.9382716049382716,0.9156626506024096,0.9268292682926829,83.0
1112,0.9122807017543859,0.9369369369369369,0.9244444444444444,111.0
1113,0.8636363636363636,1.0,0.9268292682926829,95.0
1114,0.0,0.0,0.0,5.0
1115,0.85,0.8831168831168831,0.8662420382165604,77.0
1116,0.9512195121951219,0.75,0.8387096774193549,52.0
1117,1.0,0.047619047619047616,0.0909090909090909,42.0
1118,0.9591836734693877,1.0,0.9791666666666666,94.0
1119,0.8045977011494253,0.875,0.8383233532934132,80.0
1120,0.8103448275862069,0.8392857142857143,0.8245614035087718,56.0
1121,1.0,0.65,0.787878787878788,20.0
1122,0.6746987951807228,0.9180327868852459,0.7777777777777777,61.0
1123,0.9611650485436893,0.9519230769230769,0.9565217391304348,104.0
1124,0.8761904761904762,0.9787234042553191,0.9246231155778896,94.0
1125,0.8313253012048193,0.9583333333333334,0.8903225806451613,72.0
1126,0.8674698795180723,0.972972972972973,0.9171974522292995,74.0
1127,0.9146341463414634,0.9375,0.925925925925926,80.0
1128,0.875,0.9767441860465116,0.923076923076923,86.0
1129,0.9864864864864865,0.9605263157894737,0.9733333333333333,76.0
1130,0.8918918918918919,1.0,0.9428571428571428,99.0
1131,0.8272727272727273,1.0,0.9054726368159205,91.0
1132,0.6981132075471698,0.5285714285714286,0.6016260162601625,70.0
1133,0.8775510204081632,1.0,0.9347826086956522,86.0
1134,0.7787610619469026,0.9887640449438202,0.8712871287128713,89.0
1135,0.8974358974358975,0.958904109589041,0.9271523178807948,73.0
1136,0.7636363636363637,0.75,0.7567567567567568,56.0
1137,0.6065573770491803,0.7872340425531915,0.6851851851851852,47.0
1138,0.8653846153846154,0.9574468085106383,0.9090909090909091,94.0
1139,0.7297297297297297,0.9878048780487805,0.8393782383419688,82.0
1140,0.7717391304347826,0.922077922077922,0.8402366863905326,77.0
1141,1.0,0.9,0.9473684210526316,30.0
1142,0.9365079365079365,0.8309859154929577,0.8805970149253731,71.0
1143,0.8301886792452831,0.9887640449438202,0.9025641025641026,89.0
